"Step","with-coords-esm1-tiny - train_loss","with-coords-esm1-tiny - train_loss__MIN","with-coords-esm1-tiny - train_loss__MAX","no-coords-esm1-tiny - train_loss","no-coords-esm1-tiny - train_loss__MIN","no-coords-esm1-tiny - train_loss__MAX"
"0","2.7401844460443154","2.7401844460443154","2.7401844460443154","2.7401853043512","2.7401853043512","2.7401853043512"
"1","2.652225004284587","2.652225004284587","2.652225004284587","2.693911176169945","2.693911176169945","2.693911176169945"
"2","2.600546414173202","2.600546414173202","2.600546414173202","2.686974943710479","2.686974943710479","2.686974943710479"
"3","2.559608913573208","2.559608913573208","2.559608913573208","2.6721464480785344","2.6721464480785344","2.6721464480785344"
"4","2.5308363704491925","2.5308363704491925","2.5308363704491925","2.6588687628310246","2.6588687628310246","2.6588687628310246"
"5","2.510203417721174","2.510203417721174","2.510203417721174","2.65153940766063","2.65153940766063","2.65153940766063"
"6","2.4934784691854817","2.4934784691854817","2.4934784691854817","2.647889711841053","2.647889711841053","2.647889711841053"
"7","2.4768282427693045","2.4768282427693045","2.4768282427693045","2.6436060818615337","2.6436060818615337","2.6436060818615337"
"8","2.461833681018147","2.461833681018147","2.461833681018147","2.640662021194862","2.640662021194862","2.640662021194862"
"9","2.4474457710784003","2.4474457710784003","2.4474457710784003","2.6391248169324255","2.6391248169324255","2.6391248169324255"
"10","2.434316764604177","2.434316764604177","2.434316764604177","2.6372606474832194","2.6372606474832194","2.6372606474832194"
"11","2.42032454092771","2.42032454092771","2.42032454092771","2.636544848751548","2.636544848751548","2.636544848751548"
"12","2.4073779025614654","2.4073779025614654","2.4073779025614654","2.633591276130929","2.633591276130929","2.633591276130929"
"13","2.3962954786439603","2.3962954786439603","2.3962954786439603","2.632549616832607","2.632549616832607","2.632549616832607"
"14","2.383629116001508","2.383629116001508","2.383629116001508","2.630856792974156","2.630856792974156","2.630856792974156"
"15","2.3727939678343715","2.3727939678343715","2.3727939678343715","2.629554761008711","2.629554761008711","2.629554761008711"
"16","2.3615199509045937","2.3615199509045937","2.3615199509045937","2.627492259985564","2.627492259985564","2.627492259985564"
"17","2.3493661193658184","2.3493661193658184","2.3493661193658184","2.6259156015535066","2.6259156015535066","2.6259156015535066"
"18","2.3387325414758644","2.3387325414758644","2.3387325414758644","2.6243796230151952","2.6243796230151952","2.6243796230151952"
"19","2.326595104293318","2.326595104293318","2.326595104293318","2.623697411461382","2.623697411461382","2.623697411461382"
"20","2.3116103300195654","2.3116103300195654","2.3116103300195654","2.6211117337081604","2.6211117337081604","2.6211117337081604"
"21","2.2986447080081662","2.2986447080081662","2.2986447080081662","2.6182491540908814","2.6182491540908814","2.6182491540908814"
"22","2.2873994863585922","2.2873994863585922","2.2873994863585922","2.616699450694962","2.616699450694962","2.616699450694962"
"23","2.276080668209404","2.276080668209404","2.276080668209404","2.615352556405478","2.615352556405478","2.615352556405478"
"24","2.265335111112784","2.265335111112784","2.265335111112784","2.6144552445569573","2.6144552445569573","2.6144552445569573"
"25","2.254737123274645","2.254737123274645","2.254737123274645","2.612848591488718","2.612848591488718","2.612848591488718"
"26","2.2457737160834257","2.2457737160834257","2.2457737160834257","2.612880845733036","2.612880845733036","2.612880845733036"
"27","2.235677562249417","2.235677562249417","2.235677562249417","2.611022822904271","2.611022822904271","2.611022822904271"
"28","2.2243551217957047","2.2243551217957047","2.2243551217957047","2.608989968520916","2.608989968520916","2.608989968520916"
"29","2.2166077684092995","2.2166077684092995","2.2166077684092995","2.6078136744088685","2.6078136744088685","2.6078136744088685"
"30","2.206095193000819","2.206095193000819","2.206095193000819","2.6064031930948723","2.6064031930948723","2.6064031930948723"
"31","2.198887042967689","2.198887042967689","2.198887042967689","2.604871987664936","2.604871987664936","2.604871987664936"
"32","2.1918267999263787","2.1918267999263787","2.1918267999263787","2.604840829672403","2.604840829672403","2.604840829672403"
"33","2.183627378624796","2.183627378624796","2.183627378624796","2.602160919107349","2.602160919107349","2.602160919107349"
"34","2.1733094310128926","2.1733094310128926","2.1733094310128926","2.600705989149233","2.600705989149233","2.600705989149233"
"35","2.167084008968429","2.167084008968429","2.167084008968429","2.5994642437688564","2.5994642437688564","2.5994642437688564"
"36","2.159709121533577","2.159709121533577","2.159709121533577","2.5990172244065644","2.5990172244065644","2.5990172244065644"
"37","2.151982047226255","2.151982047226255","2.151982047226255","2.5970521947405985","2.5970521947405985","2.5970521947405985"
"38","2.147880599356645","2.147880599356645","2.147880599356645","2.597385245285287","2.597385245285287","2.597385245285287"
"39","2.1382268839324547","2.1382268839324547","2.1382268839324547","2.5937494385321407","2.5937494385321407","2.5937494385321407"
"40","2.1314380351281326","2.1314380351281326","2.1314380351281326","2.5919959808816975","2.5919959808816975","2.5919959808816975"
"41","2.125925553634467","2.125925553634467","2.125925553634467","2.592102838825706","2.592102838825706","2.592102838825706"
"42","2.118767025139158","2.118767025139158","2.118767025139158","2.5907684226699224","2.5907684226699224","2.5907684226699224"
"43","2.112283775901163","2.112283775901163","2.112283775901163","2.588459871936318","2.588459871936318","2.588459871936318"
"44","2.108044718827633","2.108044718827633","2.108044718827633","2.5879539650797057","2.5879539650797057","2.5879539650797057"
"45","2.10000073349239","2.10000073349239","2.10000073349239","2.58498417146948","2.58498417146948","2.58498417146948"
"46","2.0955094634302402","2.0955094634302402","2.0955094634302402","2.584002944491557","2.584002944491557","2.584002944491557"
"47","2.0894973270151","2.0894973270151","2.0894973270151","2.5827830793052318","2.5827830793052318","2.5827830793052318"
"48","2.084493682321334","2.084493682321334","2.084493682321334","2.5803528098870587","2.5803528098870587","2.5803528098870587"
"49","2.0760980316345266","2.0760980316345266","2.0760980316345266","2.5784668527691568","2.5784668527691568","2.5784668527691568"
"50","2.0724256183137957","2.0724256183137957","2.0724256183137957","2.5766692508924876","2.5766692508924876","2.5766692508924876"
"51","2.0652453372810062","2.0652453372810062","2.0652453372810062","2.574409439390069","2.574409439390069","2.574409439390069"
"52","2.059703011939068","2.059703011939068","2.059703011939068","2.573560684564098","2.573560684564098","2.573560684564098"
"53","2.05541457324628","2.05541457324628","2.05541457324628","2.571770657766734","2.571770657766734","2.571770657766734"
"54","2.049188516708399","2.049188516708399","2.049188516708399","2.569239000926744","2.569239000926744","2.569239000926744"
"55","2.0459149719074072","2.0459149719074072","2.0459149719074072","2.5688814652676615","2.5688814652676615","2.5688814652676615"
"56","2.0410299337462874","2.0410299337462874","2.0410299337462874","2.566663598224817","2.566663598224817","2.566663598224817"
"57","2.03524502192112","2.03524502192112","2.03524502192112","2.564362026366177","2.564362026366177","2.564362026366177"
"58","2.028720511584882","2.028720511584882","2.028720511584882","2.5626886456217988","2.5626886456217988","2.5626886456217988"
"59","2.024871481412294","2.024871481412294","2.024871481412294","2.560576300589454","2.560576300589454","2.560576300589454"
"60","2.019345518374285","2.019345518374285","2.019345518374285","2.5582946343137727","2.5582946343137727","2.5582946343137727"
"61","2.0167140741221954","2.0167140741221954","2.0167140741221954","2.5577644370249564","2.5577644370249564","2.5577644370249564"
"62","2.0121688631196686","2.0121688631196686","2.0121688631196686","2.5561030229985318","2.5561030229985318","2.5561030229985318"
"63","2.006390350701793","2.006390350701793","2.006390350701793","2.5529341811375903","2.5529341811375903","2.5529341811375903"
"64","2.0008660237520735","2.0008660237520735","2.0008660237520735","2.551137994614658","2.551137994614658","2.551137994614658"
"65","1.9955320866692146","1.9955320866692146","1.9955320866692146","2.549176077653241","2.549176077653241","2.549176077653241"
"66","1.9921692594787144","1.9921692594787144","1.9921692594787144","2.546759579039567","2.546759579039567","2.546759579039567"
"67","1.9889365320963575","1.9889365320963575","1.9889365320963575","2.5463174657316396","2.5463174657316396","2.5463174657316396"
"68","1.9854407647587606","1.9854407647587606","1.9854407647587606","2.545193304762935","2.545193304762935","2.545193304762935"
"69","1.9808339795529448","1.9808339795529448","1.9808339795529448","2.5428856844933616","2.5428856844933616","2.5428856844933616"
"70","1.9747926004675052","1.9747926004675052","1.9747926004675052","2.5399980560833257","2.5399980560833257","2.5399980560833257"
"71","1.9711301120701215","1.9711301120701215","1.9711301120701215","2.5379835278782625","2.5379835278782625","2.5379835278782625"
"72","1.966419774649159","1.966419774649159","1.966419774649159","2.5357212691907063","2.5357212691907063","2.5357212691907063"
"73","1.9629232378195454","1.9629232378195454","1.9629232378195454","2.5350248257845442","2.5350248257845442","2.5350248257845442"
"74","1.9581102443846645","1.9581102443846645","1.9581102443846645","2.531235821357626","2.531235821357626","2.531235821357626"
"75","1.955091109181082","1.955091109181082","1.955091109181082","2.529526752194032","2.529526752194032","2.529526752194032"
"76","1.9496804042367746","1.9496804042367746","1.9496804042367746","2.5268949890768293","2.5268949890768293","2.5268949890768293"
"77","1.9449596644237341","1.9449596644237341","1.9449596644237341","2.5251388944537436","2.5251388944537436","2.5251388944537436"
"78","1.9417801833310664","1.9417801833310664","1.9417801833310664","2.524199855564446","2.524199855564446","2.524199855564446"
"79","1.9378469301375332","1.9378469301375332","1.9378469301375332","2.522807056698578","2.522807056698578","2.522807056698578"
"80","1.9350602232857255","1.9350602232857255","1.9350602232857255","2.519138465969768","2.519138465969768","2.519138465969768"
"81","1.9280847278651811","1.9280847278651811","1.9280847278651811","2.5156891555975602","2.5156891555975602","2.5156891555975602"
"82","1.9257444388819056","1.9257444388819056","1.9257444388819056","2.515753234143289","2.515753234143289","2.515753234143289"
"83","1.9219438749433353","1.9219438749433353","1.9219438749433353","2.5114689609072856","2.5114689609072856","2.5114689609072856"
"84","1.9177046322664677","1.9177046322664677","1.9177046322664677","2.5093567635049885","2.5093567635049885","2.5093567635049885"
"85","1.9146344289084933","1.9146344289084933","1.9146344289084933","2.508617423385974","2.508617423385974","2.508617423385974"
"86","1.9111208247822642","1.9111208247822642","1.9111208247822642","2.506970881468413","2.506970881468413","2.506970881468413"
"87","1.908055198429436","1.908055198429436","1.908055198429436","2.5038268460343214","2.5038268460343214","2.5038268460343214"
"88","1.9042028076601345","1.9042028076601345","1.9042028076601345","2.5021901042256136","2.5021901042256136","2.5021901042256136"
"89","1.9025233069003022","1.9025233069003022","1.9025233069003022","2.5007994078642484","2.5007994078642484","2.5007994078642484"
"90","1.897736725665086","1.897736725665086","1.897736725665086","2.498151487388358","2.498151487388358","2.498151487388358"
"91","1.893980191322352","1.893980191322352","1.893980191322352","2.495636539585543","2.495636539585543","2.495636539585543"
"92","1.8898115196764864","1.8898115196764864","1.8898115196764864","2.4931595338101418","2.4931595338101418","2.4931595338101418"
"93","1.8865912544016807","1.8865912544016807","1.8865912544016807","2.491820738962944","2.491820738962944","2.491820738962944"
"94","1.8809704294267868","1.8809704294267868","1.8809704294267868","2.4871114823202425","2.4871114823202425","2.4871114823202425"
"95","1.8801792770032062","1.8801792770032062","1.8801792770032062","2.486384117050676","2.486384117050676","2.486384117050676"
"96","1.876026964898141","1.876026964898141","1.876026964898141","2.4843874334499536","2.4843874334499536","2.4843874334499536"
"97","1.8725718835331746","1.8725718835331746","1.8725718835331746","2.482721786625338","2.482721786625338","2.482721786625338"
"98","1.868553310119553","1.868553310119553","1.868553310119553","2.479348683515132","2.479348683515132","2.479348683515132"
"99","1.8663262723297473","1.8663262723297473","1.8663262723297473","2.4789512660329707","2.4789512660329707","2.4789512660329707"